productSKU;type;name;class;group;owner;value;default;priceModifier;weightModifier
сп-30;C;Надстройка;;;Yes;Да;No;+4480;
сп-30;C;Надстройка;;;Yes;Нет;No;;
сп-30;C;Тумба;;;Yes;Да;No;+3260;
сп-30;C;Тумба;;;Yes;Нет;No;;
сп-30;C;Подставка;;;Yes;Да;No;+660;
сп-30;C;Подставка;;;Yes;Нет;No;;
сп-80;C;Надстройка;;;Yes;Да;No;+5100;
сп-80;C;Надстройка;;;Yes;Нет;No;;
сп-80;C;Тумба;;;Yes;Да;No;+3260;
сп-80;C;Тумба;;;Yes;Нет;No;;
сп-80;C;Подставка;;;Yes;Да;No;+660;
сп-80;C;Подставка;;;Yes;Нет;No;;
ср-140м;C;Сборка;;;No;Да;No;+950;
ср-140м;C;Сборка;;;No;Нет;No;;
ск-2;C;Сборка;;;No;Да;No;+950;
ск-2;C;Сборка;;;No;Нет;No;;
pekin-1;C;Сборка;;;No;Да;No;+950;
pekin-1;C;Сборка;;;No;Нет;No;;
piter;C;Сборка;;;No;Нет;No;+800;
ск-3;C;Сборка;;;No;Да;No;+950;
ск-3;C;Сборка;;;No;Нет;No;;
ск-3м;C;Сборка;;;No;Да;No;+950;
ск-3м;C;Сборка;;;No;Нет;No;;
ск-4;C;Сборка;;;No;Да;No;+950;
ск-4;C;Сборка;;;No;Нет;No;;
ск-9м;C;Сборка;;;No;Да;No;+950;
ск-9м;C;Сборка;;;No;Нет;No;;
ск-10;C;Сборка;;;No;Да;No;+950;
ск-10;C;Сборка;;;No;Нет;No;;
ск-16;C;Сборка;;;No;Да;No;+950;
ск-16;C;Сборка;;;No;Нет;No;;
ск-16с;C;Сборка;;;No;Да;No;+950;
ск-16с;C;Сборка;;;No;Нет;No;;
ск-28б;C;Сборка;;;No;Да;No;+950;
ск-28б;C;Сборка;;;No;Нет;No;;
сп-30;C;Сборка;;;No;Да;No;+950;
сп-30;C;Сборка;;;No;Нет;No;;
сп-80;C;Сборка;;;No;Да;No;+950;
сп-80;C;Сборка;;;No;Нет;No;;
ср-160м;C;Сборка;;;No;Да;No;+950;
ср-160м;C;Сборка;;;No;Нет;No;;
ср-180;C;Сборка;;;No;Да;No;+950;
ср-180;C;Сборка;;;No;Нет;No;;
ср-240;C;Сборка;;;No;Да;No;+950;
ср-240;C;Сборка;;;No;Нет;No;;
пк-12;C;Сборка;;;No;Нет;No;;
пк-12;C;"Стеклянная дверка";;;Yes;Да;No;+500;
пк-12;C;"Стеклянная дверка";;;Yes;Нет;No;;
пк-14;C;Сборка;;;No;Нет;No;;
пк-14;C;"Стеклянные дверки";;;Yes;Да;No;+900;
пк-14;C;"Стеклянные дверки";;;Yes;Нет;No;;
сб-100;C;Сборка;;;No;Да;No;+950;
сб-100;C;Сборка;;;No;Нет;No;;
сб-200;C;Сборка;;;No;Да;No;+950;
сб-200;C;Сборка;;;No;Нет;No;;
сб-220м;C;Сборка;;;No;Да;No;+950;
сб-220м;C;Сборка;;;No;Нет;No;;
сб-220м;C;"Стеклянные двери";;;Yes;Да;No;+900;
сб-220м;C;"Стеклянные двери";;;Yes;Нет;No;;
тс-1;C;Сборка;;;No;Да;No;+950;
тс-1;C;Сборка;;;No;Нет;No;;
ск-5;C;Сборка;;;No;Да;No;+950;
ск-5;C;Сборка;;;No;Нет;No;;
ск-20;C;Сборка;;;No;Да;No;+950;
ск-20;C;Сборка;;;No;Нет;No;;
ск-41с;C;Сборка;;;No;Нет;No;;
ск-41;C;Сборка;;;No;Да;No;+950;
ск-41;C;Сборка;;;No;Нет;No;;
ск-41;C;Надстройка;;;Yes;Да;No;+4490;
ск-41;C;Надстройка;;;Yes;Нет;No;;
ск-41;C;Тумба;;;Yes;Да;No;+3260;
ск-41;C;Тумба;;;Yes;Нет;No;;
ск-60;C;Сборка;;;No;Да;No;+950;
ск-60;C;Сборка;;;No;Нет;No;;
ск-60;C;"Тумба для стола";;;Yes;Да;No;+3260;
ск-60;C;"Тумба для стола";;;Yes;Нет;No;;
ск-60см;C;Сборка;;;No;Да;No;+950;
ск-60см;C;Сборка;;;No;Нет;No;;
ск-60см;C;Тумба;;;Yes;Да;No;+3260;
ск-60см;C;Тумба;;;Yes;Нет;No;;
скм-10;C;Сборка;;;No;Да;No;+950;
скм-10;C;Сборка;;;No;Нет;No;;
скм-30м;C;Сборка;;;No;Да;No;+950;
скм-30м;C;Сборка;;;No;Нет;No;;
скм-50;C;Сборка;;;No;Да;No;+950;
скм-50;C;Сборка;;;No;Нет;No;;
скм-60;C;Сборка;;;No;Да;No;+950;
скм-60;C;Сборка;;;No;Нет;No;;
ср-130;C;Сборка;;;No;Да;No;+950;
ср-130;C;Сборка;;;No;Нет;No;;
ср-320;C;Сборка;;;No;Да;No;+950;
ср-320;C;Сборка;;;No;Нет;No;;
ср-420;C;Сборка;;;No;Да;No;+950;
ср-420;C;Сборка;;;No;Нет;No;;
сб-10;C;Сборка;;;No;Да;No;+950;
сб-10;C;Сборка;;;No;Нет;No;;
ср-500;C;Сборка;;;No;Да;No;+950%;
ср-500;C;Сборка;;;No;Нет;No;;
сб-20;C;Сборка;;;No;Да;No;+950;
сб-20;C;Сборка;;;No;Нет;No;;
сб-30;C;Сборка;;;No;Да;No;+950;
сб-30;C;Сборка;;;No;Нет;No;;
dakar;C;Сборка;;;No;Нет;No;;
salvador;C;Сборка;;;No;Нет;No;;
oliva-3;C;Сборка;;;No;Нет;No;;
dakar-k;C;Сборка;;;No;Нет;No;;
oliva-2;C;Сборка;;;No;Нет;No;;
kubika;C;Сборка;;;No;Нет;No;;
milan-2;C;Сборка;;;No;Нет;No;;
milan-3;C;Сборка;;;No;Нет;No;;
budapesht-1;C;Сборка;;;No;Нет;No;;
budapesht-po;C;Сборка;;;No;Нет;No;;
budapesh-o;C;Сборка;;;No;Нет;No;;
peshta-1-po;C;Сборка;;;No;Нет;No;;
peshta-02;C;Сборка;;;No;Нет;No;;
peshta-po;C;Сборка;;;No;Нет;No;;
nicca-1;C;Сборка;;;No;Нет;No;;
nicca-2;C;Сборка;;;No;Нет;No;;
asti;C;Сборка;;;No;Нет;No;;
portofino-1;C;Сборка;;;No;Нет;No;;
portofino-2;C;Сборка;;;No;Нет;No;;
shankhai-1;C;Сборка;;;No;Нет;No;;
shankhai-2;C;Сборка;;;No;Нет;No;;
productSKU;type;name;class;group;owner;value;default;priceModifier;weightModifier
ск-2;S;Производитель;;;No;"Россия, Фабрика мебели МЭРДЭС";No;;
ск-2;S;Вес;;;No;"15 кг";No;;
ск-2;S;"Габариты (Ш х Г х В mm)";;;No;"720 х 500 х 1525";No;;
ск-2;S;"Варианты цвета";;;No;Бук;No;;
ск-2;S;"Варианты цвета";;;No;Венге;No;;
ск-2;S;"Варианты цвета";;;No;Карамель;No;;
ск-2;S;"Варианты цвета";;;No;Локарно;No;;
ск-2;S;"Варианты цвета";;;No;Орех;No;;
pekin-1;S;Производитель;;;No;"Россия, Фабрика Кубика";No;;
pekin-1;S;Вес;;;No;7;No;;
pekin-1;S;"Габариты (Ш х Г х В mm)";;;No;"90 х 60";No;;
piter;S;Производитель;;;No;"Россия, Фабрика Кубика";No;;
piter;S;Вес;;;No;"10 кг";No;;
piter;S;"Габариты (Ш х Г х В mm)";;;No;"60 х 80 (120 х 80)";No;;
piter;S;"Варианты цвета";;;No;Вишня;No;;
piter;S;"Варианты цвета";;;No;Орех;No;;
piter;S;"Варианты цвета";;;No;Венге;No;;
piter;S;"Варианты цвета";;;No;"Белый дуб";No;;
piter;S;Ножки;;;Yes;Хром;No;;
piter;S;Ножки;;;Yes;Дерево;No;+1815;
ск-3;S;Производитель;;;No;"Россия, Фабрика мебели МЭРДЭС";No;;
ск-3;S;Вес;;;No;"15 кг";No;;
ск-3;S;"Габариты (Ш х Г х В mm)";;;No;"700 х 500 х 880";No;;
ск-3;S;"Варианты цвета";;;No;Бук;No;;
ск-3;S;"Варианты цвета";;;No;Карамель;No;;
ск-3;S;"Варианты цвета";;;No;Локарно;No;;
ск-3;S;"Варианты цвета";;;No;Венге;No;;
ск-3м;S;Производитель;;;No;"Россия, Фабрика мебели МЭРДЭС";No;;
ск-3м;S;Вес;;;No;"15 кг";No;;
ск-3м;S;"Габариты (Ш х Г х В mm)";;;No;"760 х 460 х 830";No;;
ск-3м;S;"Варианты цвета";;;No;Бук;No;;
ск-3м;S;"Варианты цвета";;;No;Карамель;No;;
ск-3м;S;"Варианты цвета";;;No;Локарно;No;;
ск-3м;S;"Варианты цвета";;;No;Орех;No;;
ск-3м;S;"Варианты цвета";;;No;Венге;No;;
ск-4;S;Производитель;;;No;"Россия, Фабрика мебели МЭРДЭС";No;;
ск-4;S;Вес;;;No;"25 кг";No;;
ск-4;S;"Габариты (Ш х Г х В mm)";;;No;"1140 х 998 х 1470";No;;
ск-4;S;"Варианты цвета";;;No;Бук;No;;
ск-4;S;"Варианты цвета";;;No;Карамель;No;;
ск-4;S;"Варианты цвета";;;No;Лоркано;No;;
ск-4;S;"Варианты цвета";;;No;Венге;No;;
ск-9м;S;Производитель;;;No;"Россия, Фабрика мебели МЭРДЭС";No;;
ск-9м;S;Вес;;;No;"40 кг";No;;
ск-9м;S;"Габариты (Ш х Г х В mm)";;;No;"1100 х 875 х 1840";No;;
ск-9м;S;"Варианты цвета";;;No;Бук;No;;
ск-9м;S;"Варианты цвета";;;No;Карамель;No;;
ск-9м;S;"Варианты цвета";;;No;Лоркано;No;;
ск-9м;S;"Варианты цвета";;;No;Венге;No;;
ск-9м;S;Ориентация;;;Yes;Левосторонняя;No;;
ск-9м;S;Ориентация;;;Yes;Правосторонняя;No;;
ск-10;S;Производитель;;;No;"Россия, Фабрика мебели МЭРДЭС";No;;
ск-10;S;Вес;;;No;"25 кг";No;;
ск-10;S;"Габариты (Ш х Г х В mm)";;;No;"890 х 620 х 1611";No;;
ск-10;S;"Варианты цвета";;;No;Бук;No;;
ск-10;S;"Варианты цвета";;;No;Карамель;No;;
ск-10;S;"Варианты цвета";;;No;Локарно;No;;
ск-10;S;"Варианты цвета";;;No;Венге;No;;
ск-16;S;Производитель;;;No;"Россия, Фабрика мебели МЭРДЭС";No;;
ск-16;S;Вес;;;No;"20 кг";No;;
ск-16;S;"Габариты (Ш х Г х В mm)";;;No;"1000 х 620 х 1695";No;;
ск-16;S;"Варианты цвета";;;No;Бук;No;;
ск-16;S;"Варианты цвета";;;No;Карамель;No;;
ск-16;S;"Варианты цвета";;;No;Локарно;No;;
ск-16;S;"Варианты цвета";;;No;Шамони;No;;
ск-16;S;"Варианты цвета";;;No;Венге;No;;
ск-16;S;Комплектация;;;Yes;"С надстройкой";No;;
ск-16;S;Комплектация;;;Yes;"Стол без надстройки";No;-3490;-5
ск-16с;S;Производитель;;;No;"Россия, Фабрика мебели МЭРДЭС";No;;
ск-16с;S;Вес;;;No;"15 кг";No;;
ск-16с;S;"Габариты (Ш х Г х В mm)";;;No;"1000 х 620 х 795";No;;
ск-16с;S;"Варианты цвета";;;No;Бук;No;;
ск-16с;S;"Варианты цвета";;;No;Карамель;No;;
ск-16с;S;"Варианты цвета";;;No;Лоркано;No;;
ск-16с;S;"Варианты цвета";;;No;Шамони;No;;
ск-16с;S;"Варианты цвета";;;No;Венге;No;;
ск-16с;S;Комплектация;;;Yes;"Стол без надстройки";No;;
ск-16с;S;Комплектация;;;Yes;"Стол с надстройкой";No;+3490;+5
ск-28б;S;Производитель;;;No;"Россия, Фабрика мебели МЭРДЭС";No;;
ск-28б;S;Вес;;;No;"25 кг";No;;
ск-28б;S;"Габариты (Ш х Г х В mm)";;;No;1210х682х1460;No;;
ск-28б;S;"Варианты цвета";;;No;Бук;No;;
ск-28б;S;"Варианты цвета";;;No;Карамель;No;;
ск-28б;S;"Варианты цвета";;;No;Локарно;No;;
ск-28б;S;"Варианты цвета";;;No;Орех;No;;
ск-28б;S;"Варианты цвета";;;No;Венге;No;;
сп-30;S;Производитель;;;No;"Россия, Фабрика мебели МЭРДЭС";No;;
сп-30;S;Вес;;;No;"45 кг";No;;
сп-30;S;"Габариты (Ш х Г х В mm)";;;No;"1200 х 680 х 1670";No;;
сп-30;S;"Варианты цвета";;;No;Бук;No;;
сп-30;S;"Варианты цвета";;;No;Карамель;No;;
сп-30;S;"Варианты цвета";;;No;Локарно;No;;
сп-30;S;"Варианты цвета";;;No;Венге;No;;
сп-80;S;Производитель;;;No;"Россия, Фабрика мебели МЭРДЭС";No;;
сп-80;S;Вес;;;No;"45 кг";No;;
сп-80;S;"Габариты (Ш х Г х В mm)";;;No;"1320 х 700 х 1660";No;;
сп-80;S;"Варианты цвета";;;No;Бук;No;;
сп-80;S;"Варианты цвета";;;No;Карамель;No;;
сп-80;S;"Варианты цвета";;;No;Локарно;No;;
сп-80;S;"Варианты цвета";;;No;Венге;No;;
ср-140м;S;Производитель;;;No;"Россия, Фабрика мебели МЭРДЭС";No;;
ср-140м;S;Вес;;;No;"35 кг";No;;
ср-140м;S;"Габариты (Ш х Г х В mm)";;;No;"1400 х 1160 х 745";No;;
ср-140м;S;"Варианты цвета";;;No;Карамель;No;;
ср-140м;S;"Варианты цвета";;;No;"Карамель + Венге + Карамель";No;;
ср-140м;S;"Варианты цвета";;;No;"Карамель + Венге + Венге";No;;
ср-140м;S;"Варианты цвета";;;No;Локарно;No;;
ср-140м;S;"Варианты цвета";;;No;Венге;No;;
ср-140м;S;"Варианты цвета";;;No;"Венге + Карамель + Карамель";No;;
