sku;price;memberships;productClass;taxClass;enabled;weight;freeShipping;images;imagesAlt;arrivalDate;date;updateDate;categories;inventoryTrackingEnabled;stockLevel;lowLimitEnabled;lowLimitLevel;cleanURL;useSeparateBox;boxWidth;boxLength;boxHeight;itemsPerBox;name_ru;description_ru;briefDescription_ru;metaTags_ru;metaDesc_ru;metaTitle_ru;"Производитель (field:global)";"Вес (field:global)";"Габариты (Ш х Г х В mm) (field:global)";"Варианты цвета (field:global)";"Сборка (field:global)";openGraphMeta;useCustomOpenGraphMeta
ск-2;3980;;;;Yes;0;No;http://adas-mebel.ru/images/product/komputerny_stol_sk2_1.jpeg&&http://adas-mebel.ru/images/product/sk-2-buk_1.jpeg&&http://adas-mebel.ru/images/product/sk-2-karamel_1.jpeg&&http://adas-mebel.ru/images/product/sk-2-lokarno_1.jpeg&&http://adas-mebel.ru/images/product/sk-2-oreh_1.jpeg&&http://adas-mebel.ru/images/product/sk-2-venge_1.jpeg;"&&В цвете Бук&&В цвете Карамель&&В цвете Локарно&&В цвете Орех&&В цвете Венге";"Wed, 09 Jul 2014 00:00:00 +0400";"Thu, 12 Jun 2014 01:08:39 +0400";"Wed, 09 Jul 2014 20:47:41 +0400";"Столы компьютерные";No;1000;No;10;komp-yuternyj_stol_sk-2;No;0;0;0;1;"Компьютерный стол СК-2";"<p>Компактный компьютерный стол, прекрасно впишется в небольшое помещение, а широкий выбор цветов позволит подобрать оптимльный вариант.</p>
<p>Максимальный размер монитора 600 х 420 мм.</p>
<p>ВАЖНО! При оформлении заказа укажите в комментарии нужный вам цвет.</p>
<p>Стол производства фабрика мебели МЭРДЭС</p>
<p>Еще <a href=""stoly_komp-yuternye"">Компьютерные столы</a> в нашем интернет-магазине в Воронеже</p>";"<p>Компактный компьютерный стол</p>";;;"Компьютерный стол СК-2 фабрики мебели МЭРДЭС купить в Воронеже";"Россия, Фабрика мебели МЭРДЭС";"15 кг";"720 х 500 х 1525";Бук&&Венге&&Карамель&&Локарно&&Орех;Да=$+950&&Нет=default;"<meta property=""og:title"" content=""Компьютерный стол СК-2"" />
<meta property=""og:type"" content=""article"" />
<meta property=""og:url"" content=""[PAGE_URL]"" />
<meta property=""og:site_name"" content=""ADAS Мебель"" />
<meta property=""og:description"" content=""<p>Компактный компьютерный стол</p>"" />
<meta property=""og:locale"" content=""en_US"" />
<meta property=""og:image"" content=""[IMAGE_URL]"" />";No
pekin-1;7410;;;;Yes;0;No;http://adas-mebel.ru/images/product/interer_1.jpeg&&http://adas-mebel.ru/images/product/singe_table_1.jpeg&&http://adas-mebel.ru/images/product/size_foto_1.jpeg;"Стол в интерьере&&&&Размеры стола 90х60";"Wed, 09 Jul 2014 00:00:00 +0400";"Thu, 12 Jun 2014 01:29:09 +0400";"Wed, 09 Jul 2014 22:41:19 +0400";"Столы стеклянные >>> Не раздвижные столы&&Столы стеклянные";No;1000;No;10;stol_pekin-1;No;0;0;0;1;"Стол стеклянный Пекин-1";"<p>Нераздвижной стол. Столешница и полка выполнены из каленого стекла толщиной 8 мм. Верхнее стекло прозрачное, нижнее &ndash; матовое. Ножки выполнены из хромированной стали, снабжены регулировочными винтами.</p>
<p>Стол производства фабрика Кубика</p>
<p>Еще <a href=""stoly_steklyannye"">Столы стеклянные</a> в нашем интернет-магазине в Воронеже</p>";"<p>Нераздвижной стол 90х60 см. Столешница и полка выполнены из каленого стекла 8 мм. Ножки выполнены из хромированной стали, снабжены регулировочными винтами.</p>";;;"Стол стеклянный Пекин-1 фабрики Кубика купить в Воронеже";"Россия, Фабрика Кубика";7;"90 х 60";;Да=$+950&&Нет=default;"<meta property=""og:title"" content=""Стол стеклянный Пекин-1"" />
<meta property=""og:type"" content=""article"" />
<meta property=""og:url"" content=""[PAGE_URL]"" />
<meta property=""og:site_name"" content=""ADAS Мебель"" />
<meta property=""og:description"" content=""<p>Нераздвижной стол 90х60 см. Столешница и полка выполнены из каленого стекла 8 мм. Ножки выполнены из хромированной стали, снабжены регулировочными винтами.</p>"" />
<meta property=""og:locale"" content=""en_US"" />
<meta property=""og:image"" content=""[IMAGE_URL]"" />";No
piter;5430;;;;Yes;0;No;http://adas-mebel.ru/images/product/interer_2.jpeg&&http://adas-mebel.ru/images/product/single_1.jpeg&&http://adas-mebel.ru/images/product/single_open_1.jpeg&&http://adas-mebel.ru/images/product/white_1.jpeg&&http://adas-mebel.ru/images/product/white_open_1.jpeg&&http://adas-mebel.ru/images/product/size_1_1.gif;"Вид в инетрьере&&Цвет Орех, ножки Хром, сложенный&&Цвет Орех, ножки Хром, разложен&&Цвет Белый дуб, ножки Дерево, сложенный&&Цвет Белый дуб, ножки Дерево, разложенный&&Размеры. Сложенный \ разложенный";"Wed, 09 Jul 2014 00:00:00 +0400";"Thu, 12 Jun 2014 01:45:10 +0400";"Wed, 09 Jul 2014 22:43:26 +0400";"Столы кухонные";No;1000;No;10;stol_piter;No;0;0;0;1;"Стол кухонный Питер";"<p>Стол с ламинированной столешницей изготовлен из высококачественной 16 мм&nbsp; ДСП (древесно-стружечная плита) производства России. ДСП ламинировано&nbsp; финишной пленкой различных расцветок производства Германии. Столешница стола из ЛДСП окантована кромкой ПВХ (поливинилхлорид) толщиной 1 мм&nbsp; (по итальянскому стандарту). В местах стыка столешницы со вставкой - кромка толщиной 0.45 мм. Производитель кромки ПВХ - Япония.</p>
<p>Столы этой серии имеют максимально компактную форму, рекомендуются для квартир типа &laquo;гостинка&raquo; и &laquo;хрущовка&raquo;. За счет поворотно-откидного механизма раскладываются в два раза. Подстолье хромированное либо из массива дерева.</p>
<p>Стол производства фабрика Кубика</p>
<p>Еще <a href=""stoly_kuhonnye"">Столы кухонные</a> в нашем интернет-магазине в Воронеже</p>
<p><strong>С этим столом часто покупают</strong></p>
<p><a href=""stul-ya/stul-ya_hromirovannye/stul_oliva-3.html"" target=""_blank""><strong>Стул Олива-3</strong></a></p>
<p><a href=""stul-ya/stul-ya_hromirovannye/stul_oliva-3.html"" target=""_blank""><img src=""var/images/product/stul_250.jpg"" alt=""Стул Олива-3"" width=""167"" height=""221"" /></a></p>
<p><a href=""stul-ya/stul-ya_hromirovannye/stul_oliva-3.html"" target=""_blank"">Подробнее</a></p>";"<p>Столы этой серии имеют максимально компактную форму, рекомендуются для квартир типа &laquo;гостинка&raquo; и &laquo;хрущевка&raquo;. Раскладываются в два раза за счет поворотно-откидного механизма.</p>";;;"Стол кухонный Питер фабрики Кубика купить в Воронеже";"Россия, Фабрика Кубика";"10 кг";"60 х 80 (120 х 80)";"Вишня&&Орех&&Венге&&Белый дуб";Нет;"<meta property=""og:title"" content=""Стол кухонный Питер"" />
<meta property=""og:type"" content=""article"" />
<meta property=""og:url"" content=""[PAGE_URL]"" />
<meta property=""og:site_name"" content=""ADAS Мебель"" />
<meta property=""og:description"" content=""<p>Столы этой серии имеют максимально компактную форму, рекомендуются для квартир типа &laquo;гостинка&raquo; и &laquo;хрущевка&raquo;. Раскладываются в два раза за счет поворотно-откидного механизма.</p>"" />
<meta property=""og:locale"" content=""en_US"" />
<meta property=""og:image"" content=""[IMAGE_URL]"" />";No
ск-3;2950;;;;Yes;0;No;http://adas-mebel.ru/images/product/komputerny_stol_sk3_1.jpeg&&http://adas-mebel.ru/images/product/sk-3-buk_1.jpeg&&http://adas-mebel.ru/images/product/sk-3-karamel_1.jpeg&&http://adas-mebel.ru/images/product/sk-3-lokarno_1.jpeg&&http://adas-mebel.ru/images/product/sk-3-venge_1.jpeg;"&&В цвете Бук&&В цвете Карамель&&В цвете Локарно&&В цвете Венге";"Wed, 09 Jul 2014 00:00:00 +0400";"Thu, 12 Jun 2014 12:37:14 +0400";"Wed, 09 Jul 2014 20:54:51 +0400";"Столы компьютерные";No;1000;No;10;komp-yuternyj_stol_sk-3;No;0;0;0;1;"Компьютерный стол СК-3";"<p>Динамичная и мобильная модель ";"<p>Компактный компьютерный стол для ноутбука</p>";;;"Компьютерный стол СК-3 фабрики мебели МЭРДЭС купить в Воронеже";"Россия, Фабрика мебели МЭРДЭС";"15 кг";"700 х 500 х 880";Бук&&Карамель&&Локарно&&Венге;Да=$+950&&Нет=default;"<meta property=""og:title"" content=""Компьютерный стол СК-3"" />
<meta property=""og:type"" content=""article"" />
<meta property=""og:url"" content=""[PAGE_URL]"" />
<meta property=""og:site_name"" content=""ADAS Мебель"" />
<meta property=""og:description"" content=""<p>Компактный компьютерный стол для ноутбука</p>"" />
<meta property=""og:locale"" content=""en_US"" />
<meta property=""og:image"" content=""[IMAGE_URL]"" />";No
ск-3м;3550;;;;Yes;0;No;http://adas-mebel.ru/images/product/komputerny_stol_sk3m_1.jpeg&&http://adas-mebel.ru/images/product/sk-3m-buk_1.jpeg&&http://adas-mebel.ru/images/product/sk-3m-karamel_1.jpeg&&http://adas-mebel.ru/images/product/sk-3m-lokarno_1.jpeg&&http://adas-mebel.ru/images/product/sk-3m-oreh_1.jpeg&&http://adas-mebel.ru/images/product/sk-3m-venge_1.jpeg;"&&В цвете Бук&&В цвете Карамель&&В цвете Локарно&&В цвете Орех&&В цвете Венге";"Wed, 09 Jul 2014 00:00:00 +0400";"Thu, 12 Jun 2014 12:49:33 +0400";"Wed, 09 Jul 2014 20:55:49 +0400";"Столы компьютерные";No;1000;No;10;komp-yuternyj_stol_sk-3m;No;0;0;0;1;"Компьютерный стол СК-3М";"<p>Небольшой, но вместительный стол. ";"<p>Компактный компьютерный стол</p>";;;"Компьютерный стол СК-3М фабрики мебели МЭРДЭС купить в Воронеже";"Россия, Фабрика мебели МЭРДЭС";"15 кг";"760 х 460 х 830";Бук&&Карамель&&Локарно&&Орех&&Венге;Да=$+950&&Нет=default;"<meta property=""og:title"" content=""Компьютерный стол СК-3М"" />
<meta property=""og:type"" content=""article"" />
<meta property=""og:url"" content=""[PAGE_URL]"" />
<meta property=""og:site_name"" content=""ADAS Мебель"" />
<meta property=""og:description"" content=""<p>Компактный компьютерный стол</p>"" />
<meta property=""og:locale"" content=""en_US"" />
<meta property=""og:image"" content=""[IMAGE_URL]"" />";No
ск-4;10100;;;;Yes;0;No;http://adas-mebel.ru/images/product/komputerny_stol_sk4_1.jpeg&&http://adas-mebel.ru/images/product/sk-4-buk_1.jpeg&&http://adas-mebel.ru/images/product/sk-4-karamel_1.jpeg&&http://adas-mebel.ru/images/product/sk-4-lokarno_1.jpeg&&http://adas-mebel.ru/images/product/sk-4-venge_1.jpeg;"&&В цвете Бук&&В цвете Карамель&&В цвете Лоркано&&В цвете Венге";"Wed, 09 Jul 2014 00:00:00 +0400";"Thu, 12 Jun 2014 13:02:40 +0400";"Wed, 09 Jul 2014 20:56:35 +0400";"Столы компьютерные";No;1000;No;10;komp-yuternyj_stol_sk-4;No;0;0;0;1;"Компьютерный стол СК-4";"<p>Угловой стол.</p>
<p>Большая рабочая поверхность. ";"<p>Угловой компьютерный стол</p>";;;"Компьютерный стол СК-4 фабрики мебели МЭРДЭС купить в Воронеже";"Россия, Фабрика мебели МЭРДЭС";"25 кг";"1140 х 998 х 1470";Бук&&Карамель&&Лоркано&&Венге;Да=$+950&&Нет=default;"<meta property=""og:title"" content=""Компьютерный стол СК-4"" />
<meta property=""og:type"" content=""article"" />
<meta property=""og:url"" content=""[PAGE_URL]"" />
<meta property=""og:site_name"" content=""ADAS Мебель"" />
<meta property=""og:description"" content=""<p>Угловой компьютерный стол</p>"" />
<meta property=""og:locale"" content=""en_US"" />
<meta property=""og:image"" content=""[IMAGE_URL]"" />";No
ск-9м;6970;;;;Yes;0;No;http://adas-mebel.ru/images/product/komputerny_stol_sk9m_1.jpeg&&http://adas-mebel.ru/images/product/komputerny_stol_sk9m_right_1.jpeg&&http://adas-mebel.ru/images/product/sk-9m-buk_1.jpeg&&http://adas-mebel.ru/images/product/sk-9m-karamel_1.jpeg&&http://adas-mebel.ru/images/product/sk-9m-lokarno_1.jpeg&&http://adas-mebel.ru/images/product/sk-9m-venge_1.jpeg;"&&Правостороннее исполнение&&В цвете Бук&&В цвете Карамель&&В цвете Локарно&&В цвете Венге";"Wed, 09 Jul 2014 00:00:00 +0400";"Thu, 12 Jun 2014 13:19:02 +0400";"Wed, 09 Jul 2014 21:14:17 +0400";"Столы компьютерные";No;1000;No;10;komp-yuternyj_stol_sk-9m;No;0;0;0;1;"Компьютерный стол СК-9М";"<p>Компьютерный стол с полками.</p>
<p>Возможно правостороннее и левостороннее исполнение.</p>
<p>Стол производства фабрика мебели МЭРДЭС</p>
<p>Еще <a href=""stoly_komp-yuternye"">Компьютерные столы</a> в нашем интернет-магазине в Воронеже</p>";"<p>Возможно правостороннее и левостороннее исполнение.</p>";;;"Компьютерный стол СК-9М фабрики мебели МЭРДЭС купить в Воронеже";"Россия, Фабрика мебели МЭРДЭС";"40 кг";"1100 х 875 х 1840";Бук&&Карамель&&Лоркано&&Венге;Да=$+950&&Нет=default;"<meta property=""og:title"" content=""Компьютерный стол СК-9М"" />
<meta property=""og:type"" content=""article"" />
<meta property=""og:url"" content=""[PAGE_URL]"" />
<meta property=""og:site_name"" content=""ADAS Мебель"" />
<meta property=""og:description"" content=""<p>Возможно правостороннее и левостороннее исполнение.</p>"" />
<meta property=""og:locale"" content=""en_US"" />
<meta property=""og:image"" content=""[IMAGE_URL]"" />";No
ск-10;8980;;;;Yes;0;No;http://adas-mebel.ru/images/product/komputerny_stol_sk10_1.jpeg&&http://adas-mebel.ru/images/product/sk-10-buk_1.jpeg&&http://adas-mebel.ru/images/product/sk-10-karamel_1.jpeg&&http://adas-mebel.ru/images/product/sk-10-lokarno_1.jpeg&&http://adas-mebel.ru/images/product/sk-10-venge_1.jpeg;"&&В цвете Бук&&В цвете Карамель&&В цвете Лоркано&&В цвете Венге";"Wed, 09 Jul 2014 00:00:00 +0400";"Thu, 12 Jun 2014 13:30:56 +0400";"Wed, 09 Jul 2014 20:32:45 +0400";"Столы компьютерные";No;1000;No;10;komp-yuternyj_stol_sk-10;No;0;0;0;1;"Компьютерный стол СК-10";"<p>Универсальный и компактный стол.</p>
<p>Толщина столешницы 25 мм. ";"<p>Универсальный и компактный стол.</p>";;;"Компьютерный стол СК-10 фабрики мебели МЭРДЭС купить в Воронеже";"Россия, Фабрика мебели МЭРДЭС";"25 кг";"890 х 620 х 1611";Бук&&Карамель&&Локарно&&Венге;Да=$+950&&Нет=default;"<meta property=""og:title"" content=""Компьютерный стол СК-10"" />
<meta property=""og:type"" content=""article"" />
<meta property=""og:url"" content=""[PAGE_URL]"" />
<meta property=""og:site_name"" content=""ADAS Мебель"" />
<meta property=""og:description"" content=""<p>Универсальный и компактный стол.</p>"" />
<meta property=""og:locale"" content=""en_US"" />
<meta property=""og:image"" content=""[IMAGE_URL]"" />";No
ск-16;7870;;;;Yes;0;No;http://adas-mebel.ru/images/product/komputerny_stol_sk16_1.jpeg&&http://adas-mebel.ru/images/product/sk-16-buk_1.jpeg&&http://adas-mebel.ru/images/product/sk-16-karamel_1.jpeg&&http://adas-mebel.ru/images/product/sk-16-lokarno_1.jpeg&&http://adas-mebel.ru/images/product/sk-16-shamoni_1.jpeg&&http://adas-mebel.ru/images/product/sk-16-venge_1.jpeg&&http://adas-mebel.ru/images/product/sk-16c-buk_1.jpeg;"&&В цвете Бук&&В цвете Карамель&&В цвете Лоркано&&В цвете Шамони&&В цвете Венге&&Отдельный стол без надстройки. Возможны все цветовые решения";"Wed, 09 Jul 2014 00:00:00 +0400";"Thu, 12 Jun 2014 13:49:06 +0400";"Wed, 09 Jul 2014 20:34:23 +0400";"Столы компьютерные";No;1000;No;10;komp-yuternyj_stol_sk-16;No;0;0;0;1;"Компьютерный стол СК-16";"<p>Стол разработан для небольших пространств.</p>
<p>Тумба продается отдельно.</p>
<p>При комплектации с надстройкой максимальный размер монитора 650 х 420 мм. ";"<p>Стол разработан для небольших пространств.</p>";;;"Компьютерный стол СК-16 фабрики мебели МЭРДЭС купить в Воронеже";"Россия, Фабрика мебели МЭРДЭС";"20 кг";"1000 х 620 х 1695";Бук&&Карамель&&Локарно&&Шамони&&Венге;Да=$+950&&Нет=default;"<meta property=""og:title"" content=""Компьютерный стол СК-16"" />
<meta property=""og:type"" content=""article"" />
<meta property=""og:url"" content=""[PAGE_URL]"" />
<meta property=""og:site_name"" content=""ADAS Мебель"" />
<meta property=""og:description"" content=""<p>Стол разработан для небольших пространств.</p>"" />
<meta property=""og:locale"" content=""en_US"" />
<meta property=""og:image"" content=""[IMAGE_URL]"" />";No
ск-16с;4380;;;;Yes;0;No;"http://adas-mebel.ru/images/product/komputerny_stol_sk16c_1.jpeg&&http://adas-mebel.ru/images/product/sk-16c-buk_2.jpeg&&http://adas-mebel.ru/images/product/sk-16c-karamel_1.jpeg&&http://adas-mebel.ru/images/product/sk-16c-lokarno_1.jpeg&&http://adas-mebel.ru/images/product/sk-16c-shamoni_1.jpeg&&http://adas-mebel.ru/images/product/sk-16c-venge_1.jpeg&&http://adas-mebel.ru/images/product/sk-16-shamoni (1)_1.jpeg";"&&В цвете Бук&&В цвете карамель&&В цвете Локарно&&В цвете Шамони&&В цвете Венге&&Стол с надстройкой. Возможны все цветовые решения";"Wed, 09 Jul 2014 00:00:00 +0400";"Thu, 12 Jun 2014 13:59:55 +0400";"Wed, 09 Jul 2014 20:34:58 +0400";"Столы компьютерные";No;1000;No;10;komp-yuternyj_stol_sk-16s;No;0;0;0;1;"Компьютерный стол СК-16С";"<p>Стол разработан для небольших пространств.</p>
<p>При комплектации с надстройкой максимальный размер монитора 650 х 420 мм.</p>
<p>";"<p>Стол разработан для небольших пространств.</p>";;;"Компьютерный стол СК-16С фабрики мебели МЭРДЭС купить в Воронеже";"Россия, Фабрика мебели МЭРДЭС";"15 кг";"1000 х 620 х 795";Бук&&Карамель&&Лоркано&&Шамони&&Венге;Да=$+950&&Нет=default;"<meta property=""og:title"" content=""Компьютерный стол СК-16С"" />
<meta property=""og:type"" content=""article"" />
<meta property=""og:url"" content=""[PAGE_URL]"" />
<meta property=""og:site_name"" content=""ADAS Мебель"" />
<meta property=""og:description"" content=""<p>Стол разработан для небольших пространств.</p>"" />
<meta property=""og:locale"" content=""en_US"" />
<meta property=""og:image"" content=""[IMAGE_URL]"" />";No
